"","gene_id1","gene_id2","score","gene_symbol1","gene_symbol2"
"1",2067,1763,955,"ERCC1","DNA2"
"2",2067,5432,907,"ERCC1","POLR2C"
"3",2067,5436,902,"ERCC1","POLR2G"
"4",2067,100533467,996,"ERCC1","BIVM-ERCC5"
"5",2067,22909,952,"ERCC1","FAN1"
"6",2067,2956,984,"ERCC1","MSH6"
"7",2067,10450,908,"ERCC1","PPIE"
"8",2067,5395,928,"ERCC1","PMS2"
"9",2067,5810,999,"ERCC1","RAD1"
"10",2067,5893,989,"ERCC1","RAD52"
"11",2067,27339,927,"ERCC1","PRPF19"
"12",2067,8450,926,"ERCC1","CUL4B"
"13",2067,7298,739,"ERCC1","TYMS"
"14",2067,201254,931,"ERCC1","CENPX"
"15",2067,1069,958,"ERCC1","CETN2"
"16",2067,7518,962,"ERCC1","XRCC4"
"17",2067,5887,986,"ERCC1","RAD23B"
"18",2067,57697,987,"ERCC1","FANCM"
"19",2067,5439,903,"ERCC1","POLR2J"
"20",2067,5886,704,"ERCC1","RAD23A"
"21",2067,11073,963,"ERCC1","TOPBP1"
"22",2067,10714,937,"ERCC1","POLD3"
"23",2067,10038,948,"ERCC1","PARP2"
"24",2067,2547,979,"ERCC1","XRCC6"
"25",2067,348654,804,"ERCC1","GEN1"
"26",2067,5932,946,"ERCC1","RBBP8"
"27",2067,7157,795,"ERCC1","TP53"
"28",2067,5883,944,"ERCC1","RAD9A"
"29",2067,7520,979,"ERCC1","XRCC5"
"30",2067,146956,991,"ERCC1","EME1"
"31",2067,80233,952,"ERCC1","FAAP100"
"32",2067,378708,922,"ERCC1","CENPS"
"33",2067,6119,954,"ERCC1","RPA3"
"34",2067,5426,940,"ERCC1","POLE"
"35",2067,2968,965,"ERCC1","GTF2H4"
"36",2067,675,799,"ERCC1","BRCA2"
"37",2067,83990,947,"ERCC1","BRIP1"
"38",2067,285464,946,"ERCC1","CRIPAK"
"39",2067,5441,902,"ERCC1","POLR2L"
"40",2067,84464,997,"ERCC1","SLX4"
"41",2067,5433,904,"ERCC1","POLR2D"
"42",2067,7874,931,"ERCC1","USP7"
"43",2067,7314,906,"ERCC1","UBB"
"44",2067,64858,970,"ERCC1","DCLRE1B"
"45",2067,2188,952,"ERCC1","FANCF"
"46",2067,1642,985,"ERCC1","DDB1"
"47",2067,29089,929,"ERCC1","UBE2T"
"48",2067,7156,965,"ERCC1","TOP3A"
"49",2067,2237,922,"ERCC1","FEN1"
"50",2067,4437,967,"ERCC1","MSH3"
"51",2067,7507,999,"ERCC1","XPA"
"52",2067,728340,962,"ERCC1","GTF2H2C"
